smiles,ScientificName,TCMMedicinesContaining
C1C[C@H]2CN3[C@H](CC=CC3=O)[C@@H]4[C@H]2N(C1)CCC4,"(1R,2R,9S,17S)-7,13-diazatetracyclo[7.7.1.02,7.013,17]heptadec-4-en-6-one",Sophora flavescens (Ku Shen)
C1C[C@@H]2[C@H]3CCCN4[C@H]3[C@@H](CCC4)CN2C(=O)C1,"(1R,2R,9S,17S)-7,13-diazatetracyclo[7.7.1.02,7.013,17]heptadecan-6-one",Sophora flavescens (Ku Shen)
C[C@@H]([C@@H](C1=CC=CC=C1)O)NC,"(1R,2S)-2-(methylamino)-1-phenylpropan-1-ol",Ephedra sinica (Ma Huang)
C1[C@@H]2[C@H]([C@H]3[C@H](C(O2)O)OC(=O)C4=CC(=C(C(=C4C5=C(C(=C(C=C5C(=O)O3)O)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6C7=C(C(=C(C=C7C(=O)O1)O)O)O)O)O)O,"(1R,2S,19R,22R)-7,8,9,12,13,14,20,28,29,30,33,34,35-tridecahydroxy-3,18,21,24,39-pentaoxaheptacyclo[20.17.0.02,19.05,10.011,16.026,31.032,37]nonatriaconta-5,7,9,11,13,15,26,28,30,32,34,36-dodecaene-4,17,25,38-tetrone",Various plants
C1OC2=C(O1)C(=C3C(=C2)[C@@H]4[C@H]([C@@H]([C@@H]([C@H]([C@@H]4O)O)O)O)NC3=O)O,"(1R,2S,3S,4S,4aR,11bR)-1,2,3,4,7-pentahydroxy-2,3,4,4a,5,11b-hexahydro-1H-[1,3]dioxolo[4,5-j]phenanthridin-6-one",Pancratium littorale
C[C@H]1CC[C@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@@H]6[C@@]5(CC[C@@H](C6)O)C)C)C)NC1,"(1R,2S,4S,5'S,6S,7S,8R,9S,12S,13S,16S,18S)-5',7,9,13-tetramethylspiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icosane-6,2'-piperidine]-16-ol",Lycopersicon esculentum
C[C@H]1[C@H]2CC[C@@H]3[C@@]2(CC[C@H]4[C@H]3CC=C5[C@@]4(CC[C@@H](C5)N(C)C)C)CN1C,"(1R,2S,5S,6S,9R,12S,13R,16S)-N,N,6,7,13-pentamethyl-7-azapentacyclo[10.8.0.02,9.05,9.013,18]icos-18-en-16-amine",Holarrhena antidysenterica
CC1=CC[C@H]2[C@H]3[C@@H]1[C@@]2(CC[C@H]3C(C)C)C,"(1R,2S,6S,7S,8S)-1,3-dimethyl-8-propan-2-yltricyclo[4.4.0.02,7]dec-3-ene",Various plants
C[C@]12CCCC([C@@H]3[C@H]1CC[C@@H]3C2=C)(C)C,"(1R,2S,7S,9S)-3,3,7-trimethyl-8-methylidenetricyclo[5.4.0.02,9]undecane",Pinus species
C[C@@H]1C[C@]2([C@@H](O2)C)C(=O)O[C@@H]3CCN4[C@@H]3C(=CC4)COC(=O)[C@]1(C)O,"(1R,3'S,4S,6R,7R,17R)-7-hydroxy-3',6,7-trimethylspiro[2,9-dioxa-14-azatricyclo[9.5.1.014,17]heptadec-11-ene-4,2'-oxirane]-3,8-dione",Senecio jacobaea
