Ligand SMILES	Target Name	IC50 (nM)	PDB ID(s) of Target Chain
CC1=CC(C)(C)N=C(Nc2nc(C)c3cc(C)cc(C)c3n2)N1	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(cc1)-c1nnn[nH]1)NC(C)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C(C)C)C(O)=O	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
[O-][N+](=O)c1cnc(NC(=O)c2ccc(Cl)c(Cl)c2)s1	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
CN1CC(COC(=O)C2CCCCC2)=C[C@H]2[C@H]1Cc1c[nH]c3cccc2c13	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
CN1CC(COC(=O)C2CCCCC2)=C[C@H]2[C@H]1Cc1c[nH]c3cccc2c13	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
CN1CC(COC(=O)C2CCCCC2)=C[C@H]2[C@H]1Cc1c[nH]c3cccc2c13	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
CCCN1CCN(CC1)C(=O)c1cc2ccc(Oc3cnc(cn3)-c3nc(no3)-c3ccc(cc3)C(F)(F)F)cc2n1C	Signal transducer and activator of transcription 3	801	"3CWG,6NJS,6NUQ,6TLC"
FC(F)(F)COc1cccc(CN2CCN(CC2)C(=O)c2ccc(nc2)-c2nc(no2)-c2ccc(cc2)C(F)(F)F)c1	Signal transducer and activator of transcription 3	803	"3CWG,6NJS,6NUQ,6TLC"
OC(=O)c1cc(F)c(cc1O)N(Cc1ccc(cc1)C1CCOCC1)C(=O)[C@H]1CCN1S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	809	"3CWG,6NJS,6NUQ,6TLC"
OC(=O)CCCNC(=O)[C@@H]1Cc2cccc3CC[C@H](NC(=O)\C=C\c4ccc(OP(O)(O)=O)cc4)C(=O)N1c23	Signal transducer and activator of transcription 3	815	"3CWG,6NJS,6NUQ,6TLC"
