Ligand SMILES	Target Name	IC50 (nM)	Curation/DataSource	PDB ID(s) of Target Chain
COc1cccc2c1ncc1c2n(C2CCNCC2)c(=O)n(-c2cccc(Cl)c2)c1=O	Tumor necrosis factor	5	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
COc1cccc2c1ncc1c2n(C2CCCC2)c(=O)n(-c2cccc(C)c2)c1=O	Tumor necrosis factor	6	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
CCc1cccc(c1)-n1c(=O)n(C2CCCC2)c2c3cccc(OC)c3ncc2c1=O	Tumor necrosis factor	6	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
COc1cccc2c1ncc1c2n(C2CC[C@@H](CC2)NS(C)(=O)=O)c(=O)n(-c2cccc(Cl)c2)c1=O	Tumor necrosis factor	6	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
Cc1nc2cc(F)c(-c3cnc(N4CCN(C(=O)COCCn5cc(CCCN6CCC7(CC6)CCN(C(=O)CC[C@H](NC(=O)c6ccc(NCc8cnc9nc(N)nc(O)c9n8)cc6)C(=O)O)CC7)nn5)CC4)nc3)nc2c(N[C@H](C)c2cc(C#N)ccc2F)c1Cl	Tumor necrosis factor	7.6	US Patent	"5MU8,9OK6,9OJY,9OJS,9OJO,6X86,6X85,6X83,6X82,6X81,5YOY,7JRA,8Z8M,6OOZ,6OOY,5WUX,5M2M,5M2J,5M2I,4TWT,4G3Y,3IT8,3ALQ,3L9J,2AZ5,7ASY,7QLF"
COc1cccc2c1ncc1c2n(C2CCN(CC2)S(C)(=O)=O)c(=O)n(-c2ccc3OCOc3c2)c1=O	Tumor necrosis factor	8	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
COc1cccc2c1ncc1c2n(C2CCCC2)c(=O)n(-c2cccc(Cl)c2)c1=O	Tumor necrosis factor	9	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
Cc1nc2cc(F)c(-c3cnc(N4CCN(C(=O)COCCOCCN5CCC6(CC5)CCN(C(=O)CC[C@H](NC(=O)c5ccc(NCc7cnc8nc(N)nc(O)c8n7)cc5)C(=O)O)CC6)CC4)nc3)nc2c(N[C@H](C)c2cc(C#N)ccc2F)c1Cl	Tumor necrosis factor	9	US Patent	"5MU8,9OK6,9OJY,9OJS,9OJO,6X86,6X85,6X83,6X82,6X81,5YOY,7JRA,8Z8M,6OOZ,6OOY,5WUX,5M2M,5M2J,5M2I,4TWT,4G3Y,3IT8,3ALQ,3L9J,2AZ5,7ASY,7QLF"
O=C1N(Cc2c1cccc2OCc1ccc(CN2CCOCC2)cc1)[C@@H]1CCC(=O)NC1=O	Tumor necrosis factor	9.5	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
C[C@@]1(O)CCCN([C@H]1C(=O)NO)S(=O)(=O)c1ccc(OCc2ccc(F)cc2Cl)cc1	Tumor necrosis factor	10	ChEMBL	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
COc1cc(Nc2cc(Oc3ccc(NC(=O)Nc4cc(cc(NS(C)(=O)=O)c4OC)C(C)(C)C)c4ccccc34)ccn2)cc(OCCOCCOCC(O)=O)c1	Tumor necrosis factor	10.8	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
Cc1nc2cc(F)c(-c3cnc(N4CCN(C(=O)COCCOCCOCCOCCN5CCN(C(=O)CC[C@H](NC(=O)c6ccc(N(C)Cc7cnc8nc(N)[nH]c(=O)c8n7)cc6)C(=O)O)CC5)CC4)nc3)nc2c(N[C@H](C)c2cc(C#N)ccc2F)c1Cl	Tumor necrosis factor	13	US Patent	"5MU8,9OK6,9OJY,9OJS,9OJO,6X86,6X85,6X83,6X82,6X81,5YOY,7JRA,8Z8M,6OOZ,6OOY,5WUX,5M2M,5M2J,5M2I,4TWT,4G3Y,3IT8,3ALQ,3L9J,2AZ5,7ASY,7QLF"
Cc1nc2cc(F)c(-c3cnc(N4CCN(C(=O)COCCOCCOCCOCCOCCOCCn5cc(CC[C@H](NC(=O)c6ccc(N(C)Cc7ccc8nc(N)[nH]c(=O)c8c7)cc6)C(=O)O)nn5)CC4)nc3)nc2c(N[C@H](C)c2cc(C#N)ccc2F)c1Cl	Tumor necrosis factor	13	US Patent	"5MU8,9OK6,9OJY,9OJS,9OJO,6X86,6X85,6X83,6X82,6X81,5YOY,7JRA,8Z8M,6OOZ,6OOY,5WUX,5M2M,5M2J,5M2I,4TWT,4G3Y,3IT8,3ALQ,3L9J,2AZ5,7ASY,7QLF"
C[C@@H](Nc1c(Cl)cnc2ccc(cc12)-c1cnc(nc1)C(C)(C)O)c1ccccc1	Tumor necrosis factor	14	ChEMBL	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
CCOc1ncc(cn1)-c1ccc2ncc(Cl)c(N[C@H](C)c3ccccc3F)c2c1	Tumor necrosis factor	15	ChEMBL	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
C[C@@H](Nc1c(Cl)cnc2ccc(cc12)-c1ccc(nc1)S(C)(=O)=O)c1ccccc1F	Tumor necrosis factor	15	ChEMBL	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
