Ligand SMILES	Target Name	IC50 (nM)	Curation/DataSource	PDB ID(s) of Target Chain 1
C[C@@H]1COCCN1c1cc(N=S(C)(C)=O)nc(n1)-c1cc(F)cc2[nH]ccc12	ATR Interacting Protein	2	US Patent	5YZ0
COc1cc(-c2nc(cc(n2)N2CCOC[C@H]2C)N=S(C)(C)=O)c2cc[nH]c2n1	ATR Interacting Protein	22	US Patent	5YZ0
COc1cc(-c2nc(cc(n2)N2CCOC[C@H]2C)N=S(C)(C)=O)c2cc[nH]c2n1	ATR Interacting Protein	22	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(nc(n1)-c1ccnc2[nH]ccc12)C1CCN(CC1)C(=O)C1CC1	ATR Interacting Protein	22	US Patent	5YZ0
COc1cc(-c2nc(cc(n2)N2CCOC[C@H]2C)N=S(C)(C)=O)c2cc[nH]c2n1	ATR Interacting Protein	22	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2ccc(cc2)S(C)(=N)=O)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	22.8	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2ccc(cc2)S(C)(=N)=O)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	22.8	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(C)=O)nc(n1)-n1nnc2ccccc12	ATR Interacting Protein	23	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(C)=O)nc(n1)-n1nnc2ccccc12	ATR Interacting Protein	23	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(C)=O)nc(n1)-n1nnc2ccccc12	ATR Interacting Protein	23	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2ccc(F)cc2N)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	23.1	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2ccc(F)cc2N)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	23.1	US Patent	5YZ0
CC(C)S(=O)(=O)c1ccc(cc1)-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOC[C@H]1C	ATR Interacting Protein	23.2	US Patent	5YZ0
CC(C)S(=O)(=O)c1ccc(cc1)-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOC[C@H]1C	ATR Interacting Protein	23.2	US Patent	5YZ0
CC(C)Oc1cc(nc2c(nccc12)-c1cc[nH]n1)N1CCOC[C@H]1C	ATR Interacting Protein	23.3	US Patent	5YZ0
CC(C)Oc1cc(nc2c(nccc12)-c1cc[nH]n1)N1CCOC[C@H]1C	ATR Interacting Protein	23.3	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2cccc(c2F)S(C)(=O)=O)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	23.7	US Patent	5YZ0
Cc1cccc(c1C)-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1	ATR Interacting Protein	23.7	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2cccc(c2F)S(C)(=O)=O)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	23.7	US Patent	5YZ0
Cc1cccc(c1C)-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1	ATR Interacting Protein	23.7	US Patent	5YZ0
CCOC(=O)N=S(C)(=O)c1ccc(cc1)-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1	ATR Interacting Protein	23.9	US Patent	5YZ0
CCOC(=O)N=S(C)(=O)c1ccc(cc1)-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1	ATR Interacting Protein	23.9	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S2(=O)CCCC2)nc(n1)-c1cc(Cl)nc2[nH]ccc12	ATR Interacting Protein	24	US Patent	5YZ0
CN(CC(C)(C)C)c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1	ATR Interacting Protein	24	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S2(=O)CCCC2)nc(n1)-c1cc(Cl)nc2[nH]ccc12	ATR Interacting Protein	24	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(nc(n1)-c1ccnc2[nH]ccc12)C1CCN(CC1)C(C)=O	ATR Interacting Protein	24	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(=O)C2COC2)nc(c1)-c1cncc2[nH]ccc12	ATR Interacting Protein	24	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(C)=O)nc(c1)-n1c(C)nc2ccccc12	ATR Interacting Protein	24	US Patent	5YZ0
CN(CC(C)(C)C)c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1	ATR Interacting Protein	24	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S2(=O)CCCC2)nc(n1)-c1cc(Cl)nc2[nH]ccc12	ATR Interacting Protein	24	US Patent	5YZ0
C1CC(CCO1)c1cc(nc2c(nccc12)-c1cc[nH]n1)N1CCOCC1	ATR Interacting Protein	24.1	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2cnn(C)c2)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	24.1	US Patent	5YZ0
C1CC(CCO1)c1cc(nc2c(nccc12)-c1cc[nH]n1)N1CCOCC1	ATR Interacting Protein	24.1	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2cnn(C)c2)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	24.1	US Patent	5YZ0
Clc1ccccc1-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1	ATR Interacting Protein	25.3	US Patent	5YZ0
Clc1ccccc1-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1	ATR Interacting Protein	25.3	US Patent	5YZ0
