Ligand SMILES	Target Name	IC50 (nM)	Curation/DataSource	PDB ID(s) of Target Chain	UniProt (TrEMBL) Primary ID of Target Chain	UniProt (TrEMBL) Secondary ID(s) of Target Chain	UniProt (TrEMBL) Alternative ID(s) of Target Chain
[O-][n+]1ccc(cc1)-c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCCCC1	Colony Stimulating?Factor?1	1.5	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
CC(C)N1CCOc2c(F)cc(cc12)-c1nc(Nc2ccc3CCN(Cc3c2)C(=O)CN(C)C)ncc1F	Colony Stimulating?Factor?1	1.5	US Patent	"3LCO,4DKD,4LIQ,6IG8"			
Cc1cc(NCc2ccc(nc2)C(F)(F)F)ncc1-c1ccc(N)c2C(=O)NCc12	Colony Stimulating?Factor?1	1.55	US Patent	"3LCO,4DKD,4LIQ,6IG8"			
OCC(CO)N1CCC(CC1)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCCCC1	Colony Stimulating?Factor?1	1.6	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
Cn1cnc(CC(=O)N2CCC(CC2)c2ccc(NC(=O)c3ncc([nH]3)C#N)c(c2)C2=CCCCC2)c1	Colony Stimulating?Factor?1	1.6	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
CNCC(=C)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCCCC1 |t:23|	Colony Stimulating?Factor?1	1.6	US Patent	4EXP			
CC(C)(CNCCS(C)(=O)=O)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCC(C)(C)CC1 |t:29|	Colony Stimulating?Factor?1	1.6	US Patent	4EXP			
CC1(C)CCC(=CC1)c1cc(ccc1NC(=O)c1ncc([nH]1)C#N)C1(CCOCC1)N1CCOCC1	Colony Stimulating?Factor?1	1.6	US Patent	4EXP			
O=C(Nc1ccc(cc1C1=CCCCC1)C1(CN2CCOCC2)CCOCC1)c1nc(c[nH]1)C#N	Colony Stimulating?Factor?1	1.6	US Patent	4EXP			
CN(C)C(=O)C1(CCOCC1)c1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C1=CCC(C)(C)CC1	Colony Stimulating?Factor?1	1.6	US Patent	4EXP			
CC1(C)CCC(=CC1)c1cc(CCS(N)(=O)=O)ccc1NC(=O)c1ncc([nH]1)C#N	Colony Stimulating?Factor?1	1.6	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
CC(C)Nc1ncc(-c2ccc(Oc3ccnc(c3)-c3cnn(C)c3)c(C)n2)c(=O)[nH]1	Colony Stimulating?Factor?1	1.6	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
CNc1ccc(c2CNC(=O)c12)-c1cnc(NCc2ccc(OC3CC3)nc2)cc1C	Colony Stimulating?Factor?1	1.68	US Patent	"3LCO,4DKD,4LIQ,6IG8"			
O=C(Cc1cccnc1)N1CCC(CC1)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCCCC1	Colony Stimulating?Factor?1	1.7	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
O=C(CCN1CCOCC1)N1CCC(CC1)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCCCC1	Colony Stimulating?Factor?1	1.7	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
CONC(=O)c1cn(-c2ccc3CCCc3c2)c2nc(Nc3ccc(CCN4CCC(F)(F)CC4)cc3)ncc2c1=O	Colony Stimulating?Factor?1	1.7	Curated from the literature by BindingDB	"4LIQ,6T2W,4DKD"			
CC1(C)CCC(=CC1)c1cc(CCC(N)=O)ccc1NC(=O)c1ncc([nH]1)C#N |c:5|	Colony Stimulating?Factor?1	1.7	US Patent	4EXP			
COCCN(C)C(C)(C)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCC(C)(C)CC1 |t:27|	Colony Stimulating?Factor?1	1.7	US Patent	4EXP			
CC(=O)N1CCN(CC1)C(C)(C)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCC(C)(C)CC1 |t:31|	Colony Stimulating?Factor?1	1.7	US Patent	4EXP			
"CC(N1C[C@H](C)N[C@H](C)C1)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCC(C)(C)CC1 |r,t:29|"	Colony Stimulating?Factor?1	1.7	US Patent	4EXP			
CC1(C)CCC(=CC1)c1cc(ccc1NC(=O)c1ncc([nH]1)C#N)C1(CCOCC1)OCC(O)=O	Colony Stimulating?Factor?1	1.7	US Patent	4EXP			
CN1CCN(CC1)c1ccc(NC(=O)c2cc(c[nH]2)C#N)c(c1)N1CCCCC1	Colony Stimulating?Factor?1	1.7	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
CC(=O)N1CCN(CC1)C(C)(C)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCC(C)(C)CC1	Colony Stimulating?Factor?1	1.7	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
CC1(C)CCC(=CC1)c1cc(CCC(N)=O)ccc1NC(=O)c1ncc([nH]1)C#N	Colony Stimulating?Factor?1	1.7	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
CN1CC(CN(C)S1(=O)=O)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCCCC1	Colony Stimulating?Factor?1	1.7	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
Cc1ccc(NC(=O)c2ccc(CN3CCNCC3)c(c2)C(F)(F)F)cc1NC(=O)c1cccc(c1)-c1cnn(C)c1	Colony Stimulating?Factor?1	1.7	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
COc1cc(OCc2ccnc(Nc3cnn(C)c3)n2)cc2sc(N[C@H]3CCCC[C@@H]3O)nc12	Colony Stimulating?Factor?1	1.7	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
Cc1[nH]c(\C=C2/C(=O)Nc3cc(NC(=O)Nc4cc(on4)C(C)(C)C)ccc23)c(C)c1NC(=O)[C@@H]1CCNC1	Colony Stimulating?Factor?1	1.7	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1	Colony Stimulating?Factor?1	1.7	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1	Colony Stimulating?Factor?1	1.7	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
CN(Cc1ccccc1)c1ncnc2[nH]c(cc12)-c1ccc(CO)cc1	Colony Stimulating?Factor?1	1.7	ChEMBL	"4LIQ,6T2W,4DKD"			
C[C@@H](N(C)c1ncnc2[nH]c(cc12)-c1ccc(CO)cc1)c1ccccc1	Colony Stimulating?Factor?1	1.7	ChEMBL	"4LIQ,6T2W,4DKD"			
O=C(Nc1ccc(cc1C1=CCCCC1)C1CCN(CCC#N)CC1)c1ncc([nH]1)C#N	Colony Stimulating?Factor?1	1.8	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
"CC1(C)O[C@H]2[C@@H](O1)[C@]1(C)C[C@](O)(C[C@@]2(C)O1)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCC(C)(C)CC1 |r,t:37|"	Colony Stimulating?Factor?1	1.8	US Patent	4EXP			
CC(C)(NCCS(C)(=O)=O)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCC(C)(C)CC1 |t:28|	Colony Stimulating?Factor?1	1.8	US Patent	4EXP			
COCCNC1(CCOCC1)c1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C1=CCC(C)(C)CC1	Colony Stimulating?Factor?1	1.8	US Patent	4EXP			
NC(=O)C1(CCOCC1)c1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C1=CCCCC1	Colony Stimulating?Factor?1	1.8	US Patent	4EXP			
OCC1(CCOCC1)c1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C1=CCCCC1	Colony Stimulating?Factor?1	1.8	US Patent	4EXP			
CN(C)CCOC(C)(C)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCC(C)(C)CC1	Colony Stimulating?Factor?1	1.8	ChEMBL	4EXP			
O=C(Nc1ccc(CCN2CCOCC2)cc1C1=CCCCC1)c1ncc([nH]1)C#N	Colony Stimulating?Factor?1	1.8	ChEMBL	4EXP			
