Ligand SMILES	Target Name	IC50 (nM)	Curation/DataSource	PDB ID(s) of Target Chain
COc1nc(ccc1CN1CC2(C1)CCC(=O)N2)-c1cccc(c1Cl)-c1ccnc(c1Cl)-c1cc(OC)c2nc(CN3CC4(C3)CCC(=O)N4)cn2c1	Programmed?Cell?Death?1	0.8	US Patent	"7XAE,5IUS,5JDR,3BIS,3BIK,5GRJ,8AOM,6PV9,4Z18,3SBW,5XJ4,3FN3,7TPS,7XYQ,7C88,8P1O,5N2D,5J89,7OUN,5O45,5N2F,5J8O,7UXQ,7UXP,7UXO,7UX5,6VQN,8R6Q,8K5N,8JBA,8ALX,7NLD,7BEA,6YCR,6RPG,6R3K,5NIU,5GGT,7VUN,7DY7,7CZD,8OR1,8RPB,5XXY,5JDS,4ZQK,7DCV,6L8R"
COc1cc(ccc1CN[C@H]1C[C@](C)(O)C1)-c1nccc(c1Cl)-c1cccc(c1Cl)-c1ccc(CN2CC3(C2)CNC(=O)C3)c(OC)n1	Programmed?Cell?Death?1	0.8	US Patent	"7XAE,5IUS,5JDR,3BIS,3BIK,5GRJ,8AOM,6PV9,4Z18,3SBW,5XJ4,3FN3,7TPS,7XYQ,7C88,8P1O,5N2D,5J89,7OUN,5O45,5N2F,5J8O,7UXQ,7UXP,7UXO,7UX5,6VQN,8R6Q,8K5N,8JBA,8ALX,7NLD,7BEA,6YCR,6RPG,6R3K,5NIU,5GGT,7VUN,7DY7,7CZD,8OR1,8RPB,5XXY,5JDS,4ZQK,7DCV,6L8R"
COc1nc(ccc1CNC1CCN(CC1)C(C)=O)-c1ccnc(c1Cl)-c1cccc2[C@H](CCc12)Oc1nc(OC)c(CNC[C@@H]2CCC(=O)N2)cc1C(F)(F)F	Programmed?Cell?Death?1	0.8	US Patent	"7XAE,5IUS,5JDR,3BIS,3BIK,5GRJ,8AOM,6PV9,4Z18,3SBW,5XJ4,3FN3,7TPS,7XYQ,7C88,8P1O,5N2D,5J89,7OUN,5O45,5N2F,5J8O,7UXQ,7UXP,7UXO,7UX5,6VQN,8R6Q,8K5N,8JBA,8ALX,7NLD,7BEA,6YCR,6RPG,6R3K,5NIU,5GGT,7VUN,7DY7,7CZD,8OR1,8RPB,5XXY,5JDS,4ZQK,7DCV,6L8R"
COc1cc(ccc1CN1CC2(CC(O)C2)C1)-c1ncnc(c1Cl)-c1cccc(c1Cl)-c1ccc(CN2CC3(CC(O)C3)C2)c(OC)n1	Programmed?Cell?Death?1	0.8	US Patent	"7XAE,5IUS,5JDR,3BIS,3BIK,5GRJ,8AOM,6PV9,4Z18,3SBW,5XJ4,3FN3,7TPS,7XYQ,7C88,8P1O,5N2D,5J89,7OUN,5O45,5N2F,5J8O,7UXQ,7UXP,7UXO,7UX5,6VQN,8R6Q,8K5N,8JBA,8ALX,7NLD,7BEA,6YCR,6RPG,6R3K,5NIU,5GGT,7VUN,7DY7,7CZD,8OR1,8RPB,5XXY,5JDS,4ZQK,7DCV,6L8R"
COc1nc(ccc1CNC1CCN(CC1)C(C)=O)-c1cccc(c1Cl)-c1ccnc(c1Cl)-c1cc(OC)c2nc(CN3CC4(CC(O)C4)C3)nn2c1	Programmed?Cell?Death?1	0.8	US Patent	"7XAE,5IUS,5JDR,3BIS,3BIK,5GRJ,8AOM,6PV9,4Z18,3SBW,5XJ4,3FN3,7TPS,7XYQ,7C88,8P1O,5N2D,5J89,7OUN,5O45,5N2F,5J8O,7UXQ,7UXP,7UXO,7UX5,6VQN,8R6Q,8K5N,8JBA,8ALX,7NLD,7BEA,6YCR,6RPG,6R3K,5NIU,5GGT,7VUN,7DY7,7CZD,8OR1,8RPB,5XXY,5JDS,4ZQK,7DCV,6L8R"
COc1nc(N[C@H]2CCc3c2cccc3-c2nccc(c2Cl)-c2ccc(CNC3CCOCC3)c(OC)n2)c(cc1CNC[C@@H]1CCC(=O)N1)C(F)(F)F	Programmed?Cell?Death?1	0.8	US Patent	"7XAE,5IUS,5JDR,3BIS,3BIK,5GRJ,8AOM,6PV9,4Z18,3SBW,5XJ4,3FN3,7TPS,7XYQ,7C88,8P1O,5N2D,5J89,7OUN,5O45,5N2F,5J8O,7UXQ,7UXP,7UXO,7UX5,6VQN,8R6Q,8K5N,8JBA,8ALX,7NLD,7BEA,6YCR,6RPG,6R3K,5NIU,5GGT,7VUN,7DY7,7CZD,8OR1,8RPB,5XXY,5JDS,4ZQK,7DCV,6L8R"
Cc1c(COc2cc(OCc3cncc(c3)C#N)c(cc2Cl)C2=NCC(CN2)OCC(O)=O)cccc1-c1cccc(OCCCN2CCC(O)CC2)c1C	Programmed?Cell?Death?1	0.8	US Patent	
Cc1c(NC(=O)c2ccc(CNCCO)cn2)cccc1-c1cccc(NC(=O)c2ccc(CN3CC[C@@H](O)C3)cn2)c1C	Programmed?Cell?Death?1	0.8	US Patent	
Cc1c(COc2cc(OCc3cncc(c3)C#N)c(cc2Cl)C2=NCC(CN2)OCC(O)=O)cccc1-c1cccc(OCCCN2CCC(O)CC2)c1C	Programmed?Cell?Death?1	0.8	Curated from the literature by BindingDB	"7XAE,5IUS,5JDR,3BIS,3BIK,5GRJ,8AOM,6PV9,4Z18,3SBW,5XJ4,3FN3,7TPS,7XYQ,7C88,8P1O,5N2D,5J89,7OUN,5O45,5N2F,5J8O,7UXQ,7UXP,7UXO,7UX5,6VQN,9INU,8R6Q,8K5N,8JBA,8ALX,7NLD,7BEA,6YCR,6RPG,6R3K,5NIU,5GGT,7VUN,7DY7,8XR5,7CZD,8OR1,8RPB,5XXY,5JDS,4ZQK,7DCV,6L8R"
Cc2c(NC(=O)c1ccc(CNCCO)cn1)cccc2c5cccc(NC(=O)c4ccc(CN3CC[C@@H](O)C3)cn4)c5C	Programmed?Cell?Death?1	0.8	Curated from the literature by BindingDB	"7XAE,5IUS,5JDR,3BIS,3BIK,5GRJ,8AOM,6PV9,4Z18,3SBW,5XJ4,3FN3,7TPS,7XYQ,7C88,8P1O,5N2D,5J89,7OUN,5O45,5N2F,5J8O,7UXQ,7UXP,7UXO,7UX5,6VQN,9INU,8R6Q,8K5N,8JBA,8ALX,7NLD,7BEA,6YCR,6RPG,6R3K,5NIU,5GGT,7VUN,7DY7,8XR5,7CZD,8OR1,8RPB,5XXY,5JDS,4ZQK,7DCV,6L8R"
